# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 37
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: Crestone
# Data supplier: 
# Location name: Crestone Colorado
# Position (lat, lon, elev(m)): 37.9979, -105.69884, 2452
# Local timezone: MST7MDT
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 6
# Number of fields per line: 6
# SQM serial number: 6080
# SQM hardware identity: 0080A3F51677
# SQM firmware version: 4-3-79
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000003,00000079,00006080
# SQM readout test rx (Reading): r, 08.39m,0000040049Hz,0000000000c,0000000.000s, 037.7C,D
# SQM readout test cx (Calibration): c,00000019.89m,0000238.774s, 024.1C,00000008.71m, 026.4C
# SQM readout test Ix (Report Interval): 0000000120s,0000000120s,00000018.00m,00000018.00m
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.352
# UDM setting: Logged continuously every 2 minutes,Threshold = 8 mpsas, Record limit = 1000.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS, MoonPhaseDeg, MoonElevDeg, MoonIllum, MoonAzimuth, Humidity
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2;Degrees;Degrees;Percent;Degrees;Percent
# END OF HEADER
2026-08-17T01:55:43.675;2026-08-16T19:55:43.675;37.7;0;40049;8.39;124.5;20.584;21.7;55.936;33.3
2026-08-17T01:57:43.097;2026-08-16T19:57:43.097;37.3;0;25565;8.88;124.5;20.261;21.7;56.308;33.3
2026-08-17T01:59:43.114;2026-08-16T19:59:43.114;37.3;0;16110;9.38;124.5;19.936;21.7;56.678;33.3
2026-08-17T02:01:43.123;2026-08-16T20:01:43.123;37.3;0;9576;9.95;124.5;19.610;21.7;57.047;33.3
2026-08-17T02:03:43.109;2026-08-16T20:03:43.109;37.0;0;6210;10.41;124.4;19.283;21.7;57.413;33.3
2026-08-17T02:05:43.133;2026-08-16T20:05:43.133;37.0;0;5145;10.62;124.4;18.955;21.7;57.777;33.3
2026-08-17T02:07:43.113;2026-08-16T20:07:43.113;37.0;0;3734;10.96;124.4;18.625;21.7;58.139;33.3
2026-08-17T02:09:43.103;2026-08-16T20:09:43.103;36.7;0;2235;11.53;124.4;18.294;21.8;58.498;33.3
2026-08-17T02:11:43.116;2026-08-16T20:11:43.116;36.7;0;1410;12.02;124.4;17.962;21.8;58.856;33.3
2026-08-17T02:13:43.125;2026-08-16T20:13:43.125;36.7;0;812;12.62;124.4;17.629;21.8;59.213;33.3
2026-08-17T02:15:43.109;2026-08-16T20:15:43.109;36.7;0;461;13.24;124.3;17.294;21.8;59.567;33.3
2026-08-17T02:17:43.117;2026-08-16T20:17:43.117;36.4;0;330;13.60;124.3;16.959;21.8;59.919;33.3
2026-08-17T02:19:43.128;2026-08-16T20:19:43.128;36.4;0;224;14.01;124.3;16.622;21.8;60.269;33.3
2026-08-17T02:21:43.107;2026-08-16T20:21:43.107;36.4;0;136;14.56;124.3;16.284;21.8;60.618;33.3
2026-08-17T02:23:43.143;2026-08-16T20:23:43.143;36.4;4753;97;14.92;124.3;15.944;21.8;60.965;33.3
2026-08-17T02:25:43.158;2026-08-16T20:25:43.158;36.4;6149;73;15.20;124.3;15.604;21.8;61.310;33.3
